drillhole,date,block,easting,northing,elev,x,y,z
T1YB5662,2009-11-19,D009,675,850,205.85,586801.102,1052316.061,215.378
T1YB5663,2009-11-19,D006,725,575,274.23,586841.988,1052592.563,260.952
T1YB5664,2009-11-20,D006,800,475,309.28,586913.642,1052694.986,323.674
T1YB5665,2009-12-04,D006,625,425,227.21,586737.086,1052739.176,237.16
T1YB5666,2009-11-20,D006,650,475,246.4,586763.724,1052690.03,253.574
T1YB5667,2009-11-23,D008,550,800,187.17,586674.518,1052361.903,204.943
T1YB5668,2009-11-21,D003,650,275,222.56,586757.116,1052889.921,229.918
T1YB5669,2009-11-25,D009,725,600,267.02,586842.814,1052567.576,258.701
T1YB5670,2009-11-25,D006,800,425,305.33,586911.99,1052744.959,314.621
T1YB5671,2009-11-26,D008,575,800,183.27,586699.505,1052362.729,200.527
T1YB5672,2009-11-27,D006,700,575,264.64,586817.002,1052591.737,253.522
T1YB5673,2009-11-28,D006,625,575,247.96,586742.042,1052589.258,233.238
T1YB5674,2009-11-28,D014,75,550,374.13,587091.025,1052625.81,386.218
T1YB5675,2009-12-01,D009,725,625,254.52,586843.64,1052542.59,254.673
T1YB5676,2009-12-01,D006,650,525,249.4,586765.377,1052640.057,253.783
T1YB5677,2009-12-01,D006,625,550,243.42,586741.216,1052614.245,241.959
T1YB5678,2009-12-02,D014,125,550,387.17,587140.998,1052627.462,394.032
T1YB5679,2009-12-02,D006,625,525,237.23,586740.39,1052639.231,247.174
T1YB5680,2009-12-02,D006,650,575,251.67,586767.029,1052590.084,240.266
T1YB5681,2009-12-03,D014,50,575,367.38,587066.865,1052599.998,368.22
T1YB5682,2009-12-03,D014,150,525,386.4,587165.158,1052653.275,391.162
T1YB5683,2009-12-03,D006,625,400,227.96,586736.26,1052764.163,234.874
T1YB5684,2009-12-05,D014,125,575,391.62,587141.824,1052602.476,396.731
T1YB5685,2009-12-05,D003,675,250,218.54,586781.276,1052915.733,230.41
T1YB5686,2009-12-07,D017,25,625,351.8,587043.531,1052549.199,346.015
T1YB5687,2009-12-07,D006,625,450,227.44,586737.912,1052714.19,237.799
T1YB5688,2009-12-07,D006,625,475,230.78,586738.738,1052689.204,239.777
T1YB5689,2009-12-07,D003,675,225,213.11,586780.45,1052940.719,224.762
