No,drillhole,Date ,Block,E/W,N/S,CoreRec,ELEV,FROM,TO,Length,AreaInfl,Vol, Category , %Ni , %Fe , %Co ,DESCRIPTION,Excavated,ExYear,NiVol,FeVol,CoVol,ORE CLASS,Cu. m.,%Ni,%Fe,%Co,Category,Excavated,%Ni,%Ni,%Fe,%Fe,,MINERAL RESOURCES AS OF YEAR 2018,,,,,,MINERAL RESOURCES AS OF YEAR 2018,,,,,,,,,,,,,,Statistic Data of 2016 Mineral Resources TMC,,,,Taga1,,,,,,,,,
218,2924_T1,29-Aug-05,F013,E750,S075,,504.54,504.54,504,0.54,625,337.5,M,1,50.11,0.01,RBR-LAT,,,337.5,16912.125,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2925_T1,29-Aug-05,F016,E775,S425,,510.7,510.7,510,0.7,625,437.5,M,0.83,50.69,0.02,RBR-LAT,,,363.125,22176.875,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2926_T1,30-Aug-05,F016,E775,S400,,511.44,511.44,510,1.44,625,900,M,0.87,50.78,0.01,RBR-LAT,,,783,45702,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2927_T1,1-Sep-05,F016,E775,S375,,511.02,511.02,510,1.02,625,637.5,M,0.87,49.91,0.01,YBR-LAT,,,554.625,31817.625,6.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2928_T1,27-Aug-05,F013,E775,S150,,495.65,495.65,495,0.65,625,406.25,M,0.97,50.76,0.03,RBR-LAT,,,394.0625,20621.25,12.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2929_T1,29-Aug-05,F013,E800,S175,,495.52,495.52,495,0.52,625,325,M,1,48.34,0.04,RBR-LAT,,,325,15710.5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2930_T1,30-Aug-05,F013,E800,S200,,492.6,492.6,492,0.6,625,375,M,0.96,48.81,0.09,YBR-LAT,,,360,18303.75,33.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2931_T1,30-Aug-05,F013,E825,S000,,477.77,477.77,477,0.77,625,481.25,M,1.12,47.23,0.02,RBR-LAT,,,539,22729.4375,9.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2932_T1,29-Aug-05,E019,E850,S850,,474.34,474.34,473,1.34,625,837.5,M,0.69,48.85,0.1,RBR-LAT,,,577.875,40911.875,83.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2933_T1,30-Aug-05,F021,E000,S025,,473.38,473.38,472,1.38,625,862.5,M,0.75,50.27,0.02,RBR-LAT,,,646.875,43357.875,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2934_T1,30-Aug-05,F013,E875,S050,,477.7,477.7,477,0.7,625,437.5,M,0.77,47.48,0.02,RBR-LAT,,,336.875,20772.5,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2935_T1,31-Aug-05,F013,E875,S075,,481.81,481.81,481,0.81,625,506.25,M,0.92,49.49,0.01,RBR-LAT,,,465.75,25054.3125,5.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2936_T1,31-Aug-05,F013,E750,S100,,502.39,502.39,501,1.39,625,868.75,M,0.98,49.2,0.12,RBR-LAT,,,851.375,42742.5,104.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2937_T1,31-Aug-05,E019,E825,S875,,426.98,426.98,426,0.98,625,612.5,M,1.24,45.19,0.16,RBR-LAT,,,759.5,27678.875,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2938_T1,30-Aug-05,F013,E800,S225,,492.11,492.11,491,1.11,625,693.75,M,0.77,47.44,0.04,RBR-LAT,,,534.1875,32911.5,27.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2939_T1,1-Sep-05,F013,E800,S250,,495.97,495.97,495,0.97,625,606.25,M,0.89,50.68,0.03,RBR-LAT,,,539.5625,30724.75,18.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2940_T1,2-Sep-05,F013,E800,S275,,498.88,498.88,498,0.88,625,550,M,0.82,49.64,0.02,RBR-LAT,,,451,27302,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2941_T1,3-Sep-05,F013,E800,S100,,494.84,494.84,494,0.84,625,525,M,0.88,49.05,0.02,YBR-LAT,,,462,25751.25,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2942_T1,15-Sep-05,F016,E875,S350,,485.14,485.14,484,1.14,625,712.5,M,0.8,49.25,0.03,RBR-LAT,,,570,35090.625,21.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2943_T1,17-Sep-05,F016,E875,S375,,488.5,488.5,488,0.5,625,312.5,M,0.9,46.09,0.03,YBR-LAT,,,281.25,14403.125,9.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2944_T1,19-Sep-05,F021,E125,S100,,462.17,462.17,461,1.17,625,731.25,M,0.95,47.08,0.03,RBR-LAT,,,694.6875,34427.25,21.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2945_T1,6-Sep-05,F013,E800,S025,,483.1,483.1,482,1.1,625,687.5,M,1.01,47.69,0.16,RBR-YBR-LAT,,,694.375,32786.875,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2946_T1,3-Sep-05,F013,E800,S000,,485.78,485.78,485,0.78,625,487.5,M,0.91,47.46,0.04,RBR-LAT,,,443.625,23136.75,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2947_T1,3-Sep-05,F013,E850,S125,,490,490,489,1,625,625,M,0.67,49.41,0.01,RBR-LAT,,,418.75,30881.25,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2948_T1,2-Sep-05,F016,E850,S350,,492.72,492.72,492,0.72,625,450,M,0.81,50.57,0.01,RBR-LAT,,,364.5,22756.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2949_T1,3-Sep-05,F016,E850,S375,,492.61,492.61,492,0.61,625,381.25,M,0.88,50.71,0.02,RBR-LAT,,,335.5,19333.1875,7.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2950_T1,6-Sep-05,F016,E875,S325,,484.77,484.77,484,0.77,625,481.25,M,0.93,51.58,0.02,RBR-LAT,,,447.5625,24822.875,9.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2951_T1,2-Sep-05,F013,E875,S100,,485.17,485.17,484,1.17,625,731.25,M,0.73,49.98,0.01,RBR-LAT,,,533.8125,36547.875,7.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2952_T1,3-Sep-05,F013,E875,S125,,487.03,487.03,486,1.03,625,643.75,M,0.67,50.51,0.01,RBR-LAT,,,431.3125,32515.8125,6.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2953_T1,5-Sep-05,F021,E025,S050,,473.44,473.44,472,1.44,625,900,M,0.69,49.63,0.02,RBR-LAT,,,621,44667,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2954_T1,2-Sep-05,F016,E775,S350,,510.38,510.38,509,1.38,625,862.5,M,0.99,48.69,0.03,YBR-LAT,,,853.875,41995.125,25.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2955_T1,3-Sep-05,F016,E775,S325,,509.51,509.51,509,0.51,625,318.75,M,0.83,48.48,0.02,RBR-LAT,,,264.5625,15453,6.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2956_T1,5-Sep-05,F016,E775,S300,,504.71,504.71,504,0.71,625,443.75,M,0.86,50.14,0.02,RBR-LAT,,,381.625,22249.625,8.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2957_T1,2-Sep-05,E016,E775,S325,,443.33,443.33,442,1.33,625,831.25,M,0.76,49.69,0.02,RBR-YBR-LAT,,,631.75,41304.8125,16.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2958_T1,5-Sep-05,F021,E050,S050,,470.28,470.28,469,1.28,625,800,M,0.95,50.04,0.05,YBR-YOR-LAT,,,760,40032,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2959_T1,7-Sep-05,F021,E050,S075,,471.77,471.77,471,0.77,625,481.25,M,0.69,49.29,0.01,RBR-LAT,,,332.0625,23720.8125,4.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2960_T1,3-Sep-05,F016,E800,S300,,501.46,501.46,500,1.46,625,912.5,M,0.87,49.22,0.01,RBR-LAT,,,793.875,44913.25,9.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2961_T1,5-Sep-05,F016,E800,S325,,503.98,503.98,503,0.98,625,612.5,M,0.77,48.12,0.01,RBR-LAT,,,471.625,29473.5,6.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2962_T1,7-Sep-05,F016,E800,S350,,505.43,505.43,504,1.43,625,893.75,M,0.73,49.28,0.01,RBR-YBR-LAT,,,652.4375,44044,8.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2963_T1,6-Sep-05,F013,E825,S100,,489.51,489.51,489,0.51,625,318.75,M,0.92,49.76,0.01,RBR-LAT,,,293.25,15861,3.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2964_T1,6-Sep-05,F013,E800,S075,,492.48,492.48,491,1.48,625,925,M,0.75,49.45,0.01,RBR-LAT,,,693.75,45741.25,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2965_T1,6-Sep-05,F013,E775,S025,,491.71,491.71,491,0.71,625,443.75,M,0.76,48.03,0.01,RBR-LAT,,,337.25,21313.3125,4.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2966_T1,8-Sep-05,F013,E850,S100,,487.16,487.16,486,1.16,625,725,M,1.01,48.11,0.01,RBR-LAT,,,732.25,34879.75,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2967_T1,7-Sep-05,F021,E025,S075,,476.37,476.37,475,1.37,625,856.25,M,0.65,47.77,0.01,RBR-LAT,,,556.5625,40903.0625,8.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2968_T1,7-Sep-05,F021,E025,S100,,479.04,479.04,478,1.04,625,650,M,0.7,47.92,0.01,RBR-LAT,,,455,31148,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2969_T1,20-Sep-05,F021,E025,S150,,480.03,480.03,479,1.03,625,643.75,M,0.86,47.68,0.02,RBR-LAT,,,553.625,30694,12.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2970_T1,7-Sep-05,F024,E000,S325,,480.36,480.36,479,1.36,625,850,M,0.98,48.86,0.05,RBR-LAT,,,833,41531,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2971_T1,8-Sep-05,F024,E025,S350,,478.72,478.72,478,0.72,625,450,M,0.88,50.04,0.03,RBR-LAT,,,396,22518,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2972_T1,10-Sep-05,F024,E000,S350,,481.04,481.04,480,1.04,625,650,M,1.36,49.67,0.03,RBR-LAT,,,884,32285.5,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2973_T1,9-Sep-05,F024,E075,S425,,454.69,454.69,454,0.69,625,431.25,M,1.56,32.22,0.11,YBR-YOR-LAT,,,672.75,13894.875,47.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2974_T1,7-Sep-05,F013,E775,S050,,493.78,493.78,493,0.78,625,487.5,M,1.21,48.54,0.12,RBR-LAT,,,589.875,23663.25,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2975_T1,10-Sep-05,F013,E825,S075,,483.27,483.27,482,1.27,625,793.75,M,0.82,47.53,0.04,RBR-LAT,,,650.875,37726.9375,31.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2976_T1,8-Sep-05,F013,E800,S050,,483.74,483.74,483,0.74,625,462.5,M,1.2,48.44,0.04,RBR-LAT,,,555,22403.5,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2977_T1,8-Sep-05,F021,E050,S100,,473.09,473.09,472,1.09,625,681.25,M,0.84,50.21,0.01,RBR-YBR-LAT,,,572.25,34205.5625,6.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2978_T1,16-Sep-05,F021,E050,S125,,473.89,473.89,473,0.89,625,556.25,M,0.89,49.31,0.01,RBR-LAT,,,495.0625,27428.6875,5.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2979_T1,19-Sep-05,F021,E050,S150,,472.77,472.77,472,0.77,625,481.25,M,0.91,47.43,0.05,RBR-LAT,,,437.9375,22825.6875,24.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2980_T1,8-Sep-05,F013,E825,S250,,493.42,493.42,492,1.42,625,887.5,M,0.73,49.46,0.02,RBR-LAT,,,647.875,43895.75,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2981_T1,12-Sep-05,F013,E825,S275,,495.02,495.02,494,1.02,625,637.5,M,0.76,49.9,0.01,RBR-LAT,,,484.5,31811.25,6.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2982_T1,14-Sep-05,F016,E825,S300,,496.23,496.23,495,1.23,625,768.75,M,0.75,49.28,0.01,RBR-LAT,,,576.5625,37884,7.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2983_T1,8-Sep-05,F016,E800,S375,,506.77,506.77,506,0.77,625,481.25,M,0.69,48.15,0.01,RBR-LAT,,,332.0625,23172.1875,4.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2984_T1,9-Sep-05,F016,E800,S400,,507.42,507.42,506,1.42,625,887.5,M,0.9,46.01,0.03,RBR-LAT,,,798.75,40833.875,26.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2985_T1,13-Sep-05,F013,E825,S200,,494.75,494.75,494,0.75,625,468.75,M,0.98,48.75,0.01,RBR-LAT,,,459.375,22851.5625,4.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2986_T1,9-Sep-05,F013,E775,S075,,496.57,496.57,496,0.57,625,356.25,M,0.85,48.4,0.01,RBR-LAT,,,302.8125,17242.5,3.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2987_T1,15-Sep-05,F021,E025,S125,,480.3,480.3,479,1.3,625,812.5,M,0.74,49.51,0.01,RBR-LAT,,,601.25,40226.875,8.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2988_T1,21-Sep-05,F021,E025,S175,,480.08,480.08,479,1.08,625,675,M,0.83,47.48,0.01,RBR-LAT,,,560.25,32049,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2989_T1,22-Sep-05,F021,E025,S200,,479.25,479.25,478,1.25,625,781.25,M,0.89,48.18,0.02,RBR-LAT,,,695.3125,37640.625,15.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2990_T1,14-Sep-05,F013,E850,S075,,483.29,483.29,482,1.29,625,806.25,M,1.01,48.42,0.03,RBR-LAT,,,814.3125,39038.625,24.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2991_T1,10-Sep-05,F013,E825,S025,,475.28,475.28,474,1.28,625,800,M,1.64,39.61,0.19,RBR-LAT,,,1312,31688,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2992_T1,11-Sep-05,F013,E825,S050,,479.72,479.72,479,0.72,625,450,M,0.86,48.01,0.01,RBR-LAT,,,387,21604.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2993_T1,10-Sep-05,F013,E775,S100,,500.39,500.39,499,1.39,625,868.75,M,0.93,49.19,0.01,RBR-LAT,,,807.9375,42733.8125,8.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2994_T1,15-Sep-05,F024,E075,S400,,451.76,451.76,451,0.76,625,475,M,0.89,31.27,0.08,YBR-YOR-LAT,,,422.75,14853.25,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2995_T1,14-Sep-05,F013,E850,S000,,469.85,469.85,469,0.85,625,531.25,M,0.87,47.27,0.1,RBR-LAT,,,462.1875,25112.1875,53.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2996_T1,16-Sep-05,F013,E850,S025,,474.5,474.5,474,0.5,625,312.5,M,0.89,46.29,0.04,RBR-LAT,,,278.125,14465.625,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2997_T1,16-Sep-05,E019,E875,S875,,462.8,462.8,462,0.8,625,500,M,0.91,47.17,0.1,RBR-LAT,,,455,23585,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2998_T1,17-Sep-05,F013,E775,S125,,499.57,499.57,499,0.57,625,356.25,M,0.83,47.85,0.02,RBR-LAT,,,295.6875,17046.5625,7.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2999_T1,16-Sep-05,F016,E825,S325,,497.16,497.16,496,1.16,625,725,M,0.8,48.77,0.01,RBR-LAT,,,580,35358.25,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,3000_T1,17-Sep-05,F016,E825,S350,,499.56,499.56,499,0.56,625,350,M,0.7,45.57,0.02,RBR-LAT,,,245,15949.5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,3001_T1,19-Sep-05,F016,E825,S375,,500.32,500.32,499,1.32,625,825,M,0.77,48.33,0.02,RBR-LAT,,,635.25,39872.25,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,3002_T1,4-Oct-05,F013,E850,S200,,492.65,492.65,492,0.65,625,406.25,M,0.73,47.48,0.02,RBR-LAT,,,296.5625,19288.75,8.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,3003_T1,30-Sep-05,F021,E075,S275,,464.9,464.9,464,0.9,625,562.5,M,0.82,45.38,0.02,RBR-LAT,,,461.25,25526.25,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3004_T1,1-Oct-05,E027,E050,S850,,457.56,457.56,457,0.56,625,350,M,0.73,49.48,0.01,RBR-LAT,,,255.5,17318,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3005_T1,16-Sep-05,F013,E850,S050,,477.84,477.84,477,0.84,625,525,M,0.84,47.57,0.03,RBR-LAT,,,441,24974.25,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,3006_T1,17-Sep-05,F013,E850,S175,,492.55,492.55,492,0.55,625,343.75,M,0.72,47.26,0.01,RBR-LAT,,,247.5,16245.625,3.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,3007_T1,20-Sep-05,F013,E825,S175,,495.9,495.9,495,0.9,625,562.5,M,0.67,47.88,0.01,RBR-LAT,,,376.875,26932.5,5.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3008_T1,21-Sep-05,F021,E100,S025,,466.7,466.7,466,0.7,625,437.5,M,0.63,45.95,0.01,RBR-LAT,,,275.625,20103.125,4.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,3009_T1,19-Sep-05,F024,E075,S375,,456.05,456.05,455,1.05,625,656.25,M,1.2,26.25,0.06,RBR-YOR-LAT W/ YG-CS-SP,,,787.5,17226.5625,39.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3010_T1,21-Sep-05,F013,E875,S000,,469.65,469.65,469,0.65,625,406.25,M,0.67,46.38,0.02,RBR-LAT,,,272.1875,18841.875,8.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3011_T1,20-Sep-05,E027,E000,S850,,456.17,456.17,455,1.17,625,731.25,M,1,46.47,0.1,RBR-YBR-LAT,,,731.25,33981.1875,73.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3012_T1,21-Sep-05,F013,E875,S025,,474.19,474.19,473,1.19,625,743.75,M,0.8,47.64,0.03,RBR-LAT,,,595,35432.25,22.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3013_T1,19-Sep-05,F021,E125,S075,,470.11,470.11,469,1.11,625,693.75,M,0.72,48.37,0.01,RBR-LAT,,,499.5,33556.6875,6.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3014_T1,21-Sep-05,F021,E125,S050,,470.38,470.38,469,1.38,625,862.5,M,0.77,47.26,0.01,YBR-LAT,,,664.125,40761.75,8.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3015_T1,21-Sep-05,F021,E125,S025,,463.72,463.72,463,0.72,625,450,M,0.62,46.62,0.01,RBR-LAT,,,279,20979,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,3016_T1,20-Sep-05,F021,E050,S175,,471.89,471.89,471,0.89,625,556.25,M,1.04,46.46,0.03,RBR-LAT,,,578.5,25843.375,16.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,3017_T1,21-Sep-05,F021,E050,S200,,470.33,470.33,469,1.33,625,831.25,M,0.96,47.58,0.04,RBR-YBR-LAT,,,798,39550.875,33.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,3018_T1,22-Sep-05,F021,E050,S225,,466.65,466.65,466,0.65,625,406.25,M,0.82,46.91,0.02,RBR-LAT,,,333.125,19057.1875,8.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,3019_T1,21-Sep-05,F024,E075,S350,,449.75,449.75,449,0.75,625,468.75,M,0.9,42.82,0.06,RBR-LAT W/ YG-CS-SP,,,421.875,20071.875,28.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3020_T1,21-Sep-05,F021,E075,S050,,466.14,466.14,465,1.14,625,712.5,M,0.8,47.17,0.01,RBR-YBR-LAT,,,570,33608.625,7.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3021_T1,22-Sep-05,F021,E075,S075,,469.44,469.44,468,1.44,625,900,M,0.92,47.93,0.02,RBR-YBR-LAT,,,828,43137,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3022_T1,23-Sep-05,F021,E075,S100,,469.09,469.09,468,1.09,625,681.25,M,0.78,46.83,0.01,RBR-LAT,,,531.375,31902.9375,6.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,3023_T1,22-Sep-05,F024,E100,S300,,450.31,450.31,449,1.31,625,818.75,M,1.05,27.54,0.1,RBR-LAT W/ PG-HR,,,859.6875,22548.375,81.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3024_T1,23-Sep-05,E021,E000,S875,,463.71,463.71,463,0.71,625,443.75,M,0.78,46.04,0.02,RBR-LAT,,,346.125,20430.25,8.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,3025_T1,26-Sep-05,F024,E075,S325,,458.24,458.24,457,1.24,625,775,M,0.97,47.12,0.11,RBR-YBR-LAT,,,751.75,36518,85.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3026_T1,22-Sep-05,F021,E100,S050,,470.25,470.25,469,1.25,625,781.25,M,0.8,47.49,0.02,RBR-LAT,,,625,37101.5625,15.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3027_T1,26-Sep-05,F021,E100,S075,,470.19,470.19,469,1.19,625,743.75,M,0.84,48.2,0.01,RBR-YBR-LAT,,,624.75,35848.75,7.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3028_T1,26-Sep-05,F021,E100,S100,,462.93,462.93,462,0.93,625,581.25,M,0.82,46.9,0.03,RBR-YBR-LAT,,,476.625,27260.625,17.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,3029_T1,22-Sep-05,F021,E125,S000,,459.17,459.17,458,1.17,625,731.25,M,0.66,45.56,0.01,RBR-LAT,,,482.625,33315.75,7.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
