HYYB0140,2005-08-18,,,,,593373.584,1052115.895,206.564,
HYYB0141,2005-08-25,,,,,593473.529,1052491.291,148.593,
HYYB0142,2005-08-27,,,,,592795.422,1051989.339,173.774,
HYYB0143,2005-08-29,,,,,593173.733,1052315.691,161.722,
HYYB0144,2005-08-29,,,,,593273.733,1052315.691,173.333,
HYYB0145,2005-08-31,,,,,593473.584,1052115.895,209.054,
HYYB0146,2005-08-31,,,,,592895.41,1051990.882,177.454,
HYYB0147,2005-09-01,,,,,592993.855,1052092.413,157.906,
HYYB0148,2005-09-01,,,,,593091.497,1052193.882,159.624,
HYYB0149,2005-09-02,,,,,593573.733,1052415.691,120.639,
HYYB0150,2005-09-01,,,,,592796.995,1051887.571,138.381,
HYYB0151,2005-09-01,,,,,592804.639,1051487.644,86.745,
HYYB0152,2005-09-01,,,,,593173.733,1052215.691,173.908,
HYYB0153,2005-09-03,,,,,593273.733,1052215.691,184.949,
HYYB0154,2005-09-02,,,,,593373.554,1051916.16,213.315,
HYYB0155,2005-09-05,,,,,593093.843,1052093.957,168.099,
HYYB0156,2005-09-06,,,,,592904.621,1051489.555,128.331,
HYYB0157,2005-09-05,,,,,593473.733,1052215.691,176.11,
HYYB0158,2005-09-05,,,,,593193.831,1052095.501,182.358,
HYYB0159,2005-09-06,,,,,593273.584,1052115.895,191.64,
HYYB0160,2005-09-06,,,,,593590.697,1052301.651,143.801,
HYYB0161,2005-09-07,,,,,593373.369,1051816.205,223.118,
HYYB0162,2005-09-08,,,,,593473.584,1052015.895,224.453,
HYYB0163,2005-09-08,,,,,592995.398,1051992.425,175.975,
HYYB0164,2005-09-08,,,,,593195.375,1051995.513,190.936,
HYYB0165,2005-09-08,,,,,593295.363,1051997.056,198.53,
HYYB0166,2005-09-12,,,,,593689.34,1052304.496,102.449,
HYYB0167,2005-09-10,,,,,593300.725,1051697.162,213.256,
HYYB0168,2005-09-14,,,,,592906.532,1051389.573,109.64,
HYYB0169,2005-09-10,,,,,593592.124,1052202.847,159.394,
HYYB0170,2005-09-12,,,,,593196.922,1051895.215,189.068,
HYYB0171,2005-09-12,,,,,593095.387,1051993.968,179.851,
HYYB0172,2005-09-14,,,,,593296.904,1051897.126,204.229,
HYYB0173,2005-09-14,,,,,593302.637,1051597.181,238.801,
HYYB0174,2005-09-14,,,,,593400.707,1051699.073,223.636,
HYYB0175,2005-09-17,,,,,593200.744,1051695.251,200.339,
HYYB0176,2005-09-17,,,,,593593.667,1052102.858,181.31,
HYYB0177,2005-09-16,,,,,593473.525,1051916.201,227.079,
HYYB0178,2005-09-16,,,,,593298.815,1051797.144,200.555,
HYYB0179,2005-09-17,,,,,593402.618,1051599.092,241.66,
HYYB0180,2005-09-17,,,,,593304.547,1051497.199,250.535,
HYYB0181,2005-09-23,,,,,593691.25,1052204.514,133.215,
HYYB0182,2005-09-22,,,,,593202.655,1051595.27,230.804,
HYYB0183,2005-09-24,,,,,593006.513,1051391.484,151.999,
HYYB0184,2005-09-21,,,,,593100.762,1051693.34,187.818,
HYYB0185,2005-09-24,,,,,593595.211,1052002.87,193.601,
HYYB0186,2005-09-26,,,,,593473.567,1051816.177,235.761,
HYYB0187,2005-09-24,,,,,593404.529,1051499.11,263.874,
HYYB0188,2005-09-24,,,,,593102.673,1051593.359,197.29,
HYYB0189,2005-09-22,,,,,593002.691,1051591.448,158.394,
HYYB0190,2005-09-24,,,,,593306.458,1051397.217,252.614,
HYYB0191,2005-09-26,,,,,593204.566,1051495.288,233.988,
HYYB0192,2005-09-29,,,,,593693.009,1052104.733,155.834,
HYYB0193,2005-09-26,,,,,592902.71,1051589.537,143.646,
HYYB0194,2005-09-29,,,,,593106.495,1051393.395,203.277,
HYYB0195,2005-09-29,,,,,593104.584,1051493.377,220.316,
HYYB0196,2005-09-28,,,,,593206.477,1051395.306,216.796,
HYYB0197,2005-09-27,,,,,593596.849,1051902.859,188.13,
HYYB0198,2005-09-28,,,,,593791.232,1052206.425,112.667,
HYYB0199,2005-09-29,,,,,593310.922,1051297.765,231.101,
HYYB0200,2005-09-29,,,,,593406.44,1051399.128,278.651,
HYYB0201,2005-09-29,,,,,593500.689,1051700.984,234.476,
HYYB0202,2005-09-30,,,,,593004.602,1051491.466,171.111,
HYYB0203,2005-10-01,,,,,593792.99,1052106.644,125.834,
HYYB0204,2005-10-04,,,,,593598.76,1051802.877,192.534,
HYYB0205,2005-10-03,,,,,593694.92,1052004.751,148.968,
HYYB0206,2005-10-04,,,,,593410.909,1051299.331,274.77,
HYYB0207,2005-10-04,,,,,593612.452,1051202.477,301.016,
HYYB0208,2005-10-01,,,,,593502.6,1051601.003,243.381,
HYYB0209,2005-10-04,,,,,593517.16,1050900.947,238.569,
HYYB0210,2005-10-07,,,,,593521.863,1050600.984,251.104,
HYYB0211,2005-10-04,,,,,593504.511,1051501.021,257.53,
HYYB0212,2005-10-05,,,,,593794.901,1052006.662,112.243,
HYYB0213,2005-10-05,,,,,593518.73,1050800.96,225.443,
HYYB0214,2005-10-08,,,,,593515.597,1051000.935,247.418,
HYYB0215,2005-10-13,,,,,593698.742,1051804.788,155.233,
HYYB0216,2005-10-10,,,,,593600.671,1051702.895,209.107,
HYYB0217,2005-10-08,,,,,593617.152,1050902.513,275.411,
HYYB0218,2005-10-08,,,,,593506.422,1051401.039,287.256,
HYYB0219,2005-10-06,,,,,593412.476,1051199.344,251.645,
HYYB0220,2005-10-10,,,,,593520.297,1050700.971,230.728,
HYYB0221,2005-10-08,,,,,593418.742,1050799.393,196.105,
HYYB0222,2005-10-12,,,,,593414.042,1051099.356,239.84,
HYYB0223,2005-10-10,,,,,593696.831,1051904.77,136.254,
