Hole no.,Date ,Block,E/W,N/S,ELEV,%Ni,%Fe,%Co
891_T3,06-Mar-93,D051,E075,S200,428.67,,,
2878_T3,15-Oct-97,E051,E075,S200,137.31,,,
2884_T3,16-Oct-97,E051,E100,S200,225.49,,,
577_T3_06,24-Jun-06,F061,E100,S200,283.13,,,
3228_T3,25-May-98,D051,E100,S200,387.54,,,
3754_T3,05-Nov-98,D051,E125,S200,433.49,,,
2309,10-Feb-97,E051,E125,S200,213.93,,,
4431_T3,13-Aug-99,F051,E125,S200,235.15,,,
2303,03-Feb-97,E051,E150,S200,211.31,,,
4421_T3,12-Aug-99,F051,E150,S200,239.21,,,
442_T3_06,14-Mar-06,C051,E150,S200,332.94,,,
3769_T3,18-Nov-98,D051,E150,S200,423.15,,,
4410_T3,12-Aug-99,F051,E175,S200,243.24,,,
3658_T3,29-Sep-98,D051,E175,S200,478.62,,,
2278,31-Jan-97,E051,E175,S200,216.16,,,
3129,14-Apr-98,E051,E200,S200,425.69,,,
445_T3_06,15-Mar-06,C051,E200,S200,333.61,,,
3645_T3,25-Sep-98,D051,E200,S200,445.78,,,
3999_T3,29-Apr-99,F051,E200,S200,464.07,,,
4024_T3,07-May-99,F051,E225,S200,449.45,,,
2257,22-Jan-97,E051,E225,S200,218.85,,,
3640_T3,23-Sep-98,D051,E225,S200,433.09,,,
4009_T3,03-May-99,F051,E250,S200,485.77,,,
448_T3_06,16-Mar-06,C051,E250,S200,326.76,,,
569_T3_06,17-Jun-06,F061,E250,S200,282.57,,,
2268,27-Jan-97,E051,E250,S200,221.44,,,
3936_T3,19-Mar-99,F051,E275,S200,486.98,,,
1980,20-Aug-96,E051,E275,S200,267.6,,,
3549_T3,01-Sep-98,F052,E300,S200,306.74,,,
444_T3_06,15-Mar-06,C052,E300,S200,331.72,,,
VDH0386,23-Apr-88,E052,E300,S200,212.55,,,
1974,17-Aug-96,E052,E325,S200,189.64,,,
3554_T3,26-Aug-98,F052,E325,S200,239.89,,,
573_T3_06,17-Jun-06,F062,E350,S200,342.53,,,
3722,19-Oct-98,E052,E350,S200,471.49,,,
452_T3_06,20-Mar-06,C052,E350,S200,318.27,,,
3529_T3,27-Aug-98,F052,E350,S200,246.09,,,
3560_T3,03-Sep-98,F052,E375,S200,280.75,,,
2276,23-Jan-97,E052,E375,S200,227,,,
3569_T3,07-Sep-98,F052,E400,S200,283.51,,,
453_T3_06,20-Mar-06,C052,E400,S200,338.39,,,
576_T3_06,22-Jun-06,F062,E400,S200,255.83,,,
2249_T3,28-Nov-96,E052,E400,S200,219.14,,,
3080_T3,18-Mar-98,F052,E425,S200,393.09,,,
3464_T3,10-Aug-98,F052,E450,S200,302.19,,,
581_T3_06,26-Jun-06,F062,E450,S200,330.26,,,
463_T3_06,27-Mar-06,C052,E450,S200,356.47,,,
3457_T3,07-Aug-98,F052,E475,S200,305.56,,,
3452_T3,07-Aug-98,F052,E500,S200,311.49,,,
472_T3_06,1-Apr-06,C052,E500,S200,333.15,,,
582_T3_06,27-Jun-06,F062,E500,S200,257.31,,,
3444_T3,04-Aug-98,F052,E525,S200,379.79,,,
4379_T3,04-Aug-99,D042,E550,S200,422.69,,,
3497_T3,19-Aug-98,F052,E550,S200,384.04,,,
3551_T3,01-Sep-98,F052,E575,S200,301.87,,,
2198_T3,26-Oct-96,D042,E575,S200,238.97,,,
4383_T3,06-Aug-99,F053,E600,S200,190.04,,,
VDH0367,30-Mar-88,D043,E600,S200,208.76,,,
4271_T3,07-Jul-99,F053,E625,S200,300.8,,,
4227_T3,24-Jun-99,D043,E625,S200,392.34,,,
4203_T3,22-Jun-99,D043,E650,S200,451.53,,,
4230_T3,30-Jun-99,F053,E650,S200,396.98,,,
4181_T3,16-Jun-99,D043,E675,S200,414.38,,,
4218_T3,26-Jun-99,F053,E675,S200,420.19,,,
3214_T3,20-May-98,D043,E700,S200,383.75,,,
4217_T3,25-Jun-99,F053,E700,S200,388.29,,,
3234_T3,25-May-98,D043,E725,S200,212.05,,,
4597_T3,25-Sep-99,F053,E725,S200,143.87,,,
3892_T3,05-Mar-99,D043,E750,S200,461.47,,,
4524_T3,13-Sep-99,F053,E750,S200,186,,,
4535_T3,14-Sep-99,F053,E775,S200,152.92,,,
3236_T3,27-May-98,D043,E775,S200,219.75,,,
4243_T3,02-Jul-99,E043,E800,S200,271.64,,,
3232_T3,26-May-98,D043,E800,S200,373,,,
554_T3_06,5-Jun-06,F053,E800,S200,242.89,,,
4249_T3,03-Jul-99,E053,E825,S200,396.53,,,
3184_T3,04-May-98,F053,E825,S200,379.01,,,
3192_T3,06-May-98,D043,E825,S200,404.96,,,
4255_T3,05-Jul-99,E043,E850,S200,265.9,,,
902_T3,17-Mar-93,D043,E850,S200,426.49,,,
3149_T3,22-Apr-98,F053,E850,S200,406.73,,,
897_T3,15-Mar-93,D043,E875,S200,429.38,,,
3525_T3,27-Aug-98,E043,E875,S200,238.43,,,
1862_T3,10-Jul-96,F061,E000,S225,306.44,,,
933_T3,22-Apr-93,D051,E000,S225,427.2,,,
936_T3,22-Apr-93,D051,E025,S225,430.12,,,
989_T3,10-Jun-93,D051,E075,S225,398.96,,,
2872_T3,10-Oct-97,E051,E075,S225,169.87,,,
2890_T3,17-Oct-97,E051,E100,S225,162.46,,,
3749_T3,31-Oct-98,D051,E100,S225,472.33,,,
4432_T3,14-Aug-99,F051,E125,S225,227.29,,,
2321,24-Feb-97,E051,E125,S225,227.96,,,
3735_T3,30-Oct-98,D051,E125,S225,468.03,,,
2315,11-Feb-97,E051,E150,S225,228.27,,,
4415_T3,12-Aug-99,F051,E150,S225,242.56,,,
3731_T3,29-Oct-98,D051,E150,S225,442.98,,,
2284,01-Feb-97,E051,E175,S225,216.5,,,
3670_T3,01-Oct-98,D051,E175,S225,460.05,,,
4416_T3,13-Aug-99,F051,E175,S225,222.31,,,
3689_T3,07-Oct-98,D051,E200,S225,473.52,,,
4035_T3,10-May-99,F051,E200,S225,464.74,,,
2271,31-Jan-97,E051,E200,S225,215.56,,,
3685_T3,06-Oct-98,D051,E225,S225,470.13,,,
4026_T3,08-May-99,F051,E225,S225,484.56,,,
2251,17-Jan-97,E051,E225,S225,221.74,,,
4020_T3,06-May-99,F051,E250,S225,462.49,,,
2274,30-Jan-97,E051,E250,S225,212.55,,,
2286,10-Feb-97,E051,E275,S225,219.54,,,
3945_T3,31-Mar-99,F051,E275,S225,486.11,,,
1970,16-Aug-96,E052,E300,S225,255.5,,,
3518_T3,25-Aug-98,F052,E300,S225,213.48,,,
3524_T3,26-Aug-98,F052,E325,S225,230.01,,,
2351,26-May-97,E052,E325,S225,232.35,,,
2345,24-May-97,E052,E350,S225,211.02,,,
3533_T3,28-Aug-98,F052,E350,S225,245.59,,,
3550_T3,02-Sep-98,F052,E375,S225,294.21,,,
2375,30-May-97,E052,E375,S225,224.84,,,
3534_T3,28-Aug-98,F052,E400,S225,248.3,,,
3538_T3,29-Aug-98,F052,E425,S225,382.92,,,
3545_T3,31-Aug-98,F052,E450,S225,315.25,,,
3468_T3,11-Aug-98,F052,E475,S225,361,,,
3504_T3,21-Aug-98,F052,E500,S225,347.08,,,
3515_T3,21-Aug-98,F052,E525,S225,340.83,,,
4378_T3,04-Aug-99,D042,E550,S225,373.87,,,
3543_T3,31-Aug-98,F052,E550,S225,351.93,,,
2192_T3,25-Oct-96,D042,E575,S225,242.81,,,
3535_T3,28-Aug-98,F052,E575,S225,350.2,,,
4382_T3,05-Aug-99,F063,E600,S225,205.42,,,
2189_T3,25-Oct-96,D043,E600,S225,217.25,,,
4281_T3,08-Jul-99,F053,E625,S225,345.27,,,
2195_T3,26-Oct-96,D043,E625,S225,216.95,,,
4221_T3,24-Jun-99,D043,E650,S225,433.53,,,
4224_T3,29-Jun-99,F053,E650,S225,390.06,,,
4187_T3,17-Jun-99,D043,E675,S225,455.17,,,
4325_T3,19-Jul-99,F053,E675,S225,121.37,,,
4175_T3,14-Jun-99,D043,E700,S225,456.05,,,
4319_T3,17-Jul-99,F053,E700,S225,361,,,
3210_T3,20-May-98,D043,E725,S225,402.77,,,
4548_T3,22-Sep-99,F053,E725,S225,160.48,,,
4588_T3,23-Sep-99,F053,E750,S225,165.62,,,
3202_T3,27-May-98,D043,E750,S225,370.99,,,
4167_T3,09-Jun-99,D043,E775,S225,448.89,,,
4592_T3,24-Sep-99,F053,E775,S225,162.61,,,
4561_T3,15-Sep-99,F053,E800,S225,160.84,,,
3227_T3,25-May-98,D043,E800,S225,376.11,,,
3183_T3,04-May-98,F053,E825,S225,387.92,,,
3187_T3,05-May-98,D043,E825,S225,215.78,,,
3153_T3,22-Apr-98,F053,E850,S225,402.11,,,
907_T3,22-Mar-93,D043,E850,S225,427.36,,,
905_T3,19-Mar-93,D043,E875,S225,430.77,,,
944_T3,03-May-93,D051,E000,S250,409.57,,,
1857_T3,09-Jul-96,F061,E000,S250,329.87,,,
940_T3,28-Apr-93,D051,E025,S250,396.17,,,
1843_T3,01-Jul-96,F061,E050,S250,294.74,,,
981_T3,04-Jun-93,D051,E050,S250,390,,,
987_T3,09-Jun-93,D051,E075,S250,402.72,,,
2866_T3,09-Oct-97,E051,E075,S250,183.37,,,
559_T3_06,10-Jun-06,F061,E100,S250,244.2,,,
2896_T3,21-Oct-97,E051,E100,S250,166.85,,,
3743_T3,26-Oct-98,D051,E100,S250,475.42,,,
2293,13-Mar-97,E051,E125,S250,227.03,,,
4433_T3,19-Aug-99,F051,E125,S250,216.18,,,
3748_T3,27-Oct-98,D051,E125,S250,413.25,,,
3675_T3,02-Oct-98,D051,E150,S250,458.77,,,
3968_T3,10-Apr-99,F051,E150,S250,500.86,,,
565_T3_06,13-Jun-06,F061,E150,S250,241.89,,,
441_T3_06,13-Mar-06,C051,E150,S250,334.9,,,
2018,30-Aug-96,E051,E150,S250,216.89,,,
3681_T3,03-Oct-98,D051,E175,S250,429.37,,,
2290,08-Feb-97,E051,E175,S250,218.49,,,
3973_T3,13-Apr-99,F051,E175,S250,490.44,,,
4263_T3,06-Jul-99,F051,E200,S250,291.79,,,
3694_T3,08-Oct-98,D051,E200,S250,423.57,,,
436_T3_06,11-Mar-06,C051,E200,S250,329.22,,,
562_T3_06,13-Jun-06,F061,E200,S250,240.29,,,
2009,28-Aug-96,E051,E200,S250,249.54,,,
4034_T3,10-May-99,F051,E225,S250,461.43,,,
2245,11-Jan-97,E051,E225,S250,245.9,,,
3697_T3,13-Oct-98,D051,E225,S250,470.6,,,
4019_T3,06-May-99,F051,E250,S250,475.76,,,
431_T3_06,10-Mar-06,C051,E250,S250,332.67,,,
1963,14-Aug-96,E051,E250,S250,115.88,,,
567_T3_06,15-Jun-06,F061,E250,S250,289.2,,,
3955_T3,07-Apr-99,F051,E275,S250,479.88,,,
2292,12-Feb-97,E051,E275,S250,225.3,,,
1915_T3,03-Aug-96,F062,E300,S250,217.23,,,
440_T3_06,11-Mar-06,C052,E300,S250,335.5,,,
3479_T3,13-Aug-98,F052,E300,S250,197.84,,,
2099,27-Sep-96,E052,E300,S250,242.46,,,
3513_T3,24-Aug-98,F052,E325,S250,211.23,,,
2357,27-May-97,E052,E325,S250,229.08,,,
1930_T3,05-Aug-96,F062,E350,S250,233.66,,,
443_T3_06,15-Mar-06,C052,E350,S250,333.55,,,
2093,25-Sep-96,E052,E350,S250,207.9,,,
3539_T3,29-Aug-98,F052,E350,S250,374.13,,,
3555_T3,02-Sep-98,F052,E375,S250,295.87,,,
2374,09-Jun-97,E052,E375,S250,219.38,,,
572_T3_06,17-Jun-06,F062,E400,S250,242.09,,,
454_T3_06,21-Mar-06,C052,E400,S250,343.1,,,
3528_T3,27-Aug-98,F052,E400,S250,240.64,,,
3482_T3,17-Aug-98,F052,E425,S250,226.65,,,
3478_T3,14-Aug-98,F052,E450,S250,221.8,,,
578_T3_06,22-Jun-06,F062,E450,S250,236.87,,,
455_T3_06,22-Mar-06,C052,E450,S250,335.78,,,
3473_T3,12-Aug-98,F052,E475,S250,270.71,,,
3495_T3,20-Aug-98,F052,E500,S250,203.86,,,
585_T3_06,27-Jun-06,F062,E500,S250,324.51,,,
461_T3_06,27-Mar-06,C052,E500,S250,353.9,,,
3505_T3,22-Aug-98,F052,E525,S250,319.73,,,
3510_T3,22-Aug-98,F052,E550,S250,313.17,,,
2177_T3,23-Oct-96,D042,E550,S250,221.9,,,
588_T3_06,3-Jul-06,F062,E550,S250,247.42,,,
2183_T3,24-Oct-96,D042,E575,S250,231.87,,,
3522_T3,27-Aug-98,F052,E575,S250,228.65,,,
4361_T3,04-Aug-99,F053,E600,S250,385.94,,,
589_T3_06,29-Jun-06,F063,E600,S250,237.35,,,
2201_T3,30-Oct-96,D043,E600,S250,226.45,,,
4282_T3,08-Jul-99,F053,E625,S250,344.4,,,
2205_T3,09-Nov-96,D043,E625,S250,223.63,,,
4330_T3,20-Jul-99,F053,E650,S250,374.81,,,
2207_T3,31-Oct-96,D043,E650,S250,225.68,,,
4302_T3,14-Jul-99,F053,E675,S250,333.14,,,
2194_T3,30-Oct-96,D043,E675,S250,219.63,,,
4313_T3,16-Jul-99,F053,E700,S250,324.81,,,
2076_T3,18-Sep-96,D043,E700,S250,238.02,,,
2082_T3,19-Sep-96,D043,E725,S250,220.16,,,
4539_T3,21-Sep-99,F053,E725,S250,155.76,,,
4567_T3,17-Sep-99,F053,E750,S250,169.92,,,
2088_T3,30-Sep-96,D043,E750,S250,213.33,,,
4566_T3,16-Sep-99,F053,E775,S250,149.43,,,
1021_T3,17-Jul-93,D043,E775,S250,363.3,,,
1017_T3,15-Jul-93,D043,E800,S250,412.58,,,
4562_T3,15-Sep-99,F053,E800,S250,168.87,,,
932_T3,19-Apr-93,D043,E825,S250,418,,,
4589_T3,21-Sep-99,F053,E825,S250,157.78,,,
1852_T3,05-Jul-96,F053,E850,S250,280,,,
910_T3,25-Mar-93,D043,E850,S250,431.08,,,
1001_T3,22-Jun-93,D043,E875,S250,399.52,,,
1856_T3,08-Jul-96,F061,E000,S275,332.64,,,
949_T3,10-May-93,D051,E000,S275,400.37,,,
688_T3_06,19-Sep-06,E061,E000,S275,167.55,,,
661_T3_06,16-Sep-06,E061,E025,S275,180.06,,,
942_T3,29-Apr-93,D051,E025,S275,406.35,,,
978_T3,02-Jun-93,D051,E050,S275,384.04,,,
676_T3_06,18-Sep-06,E061,E050,S275,161.16,,,
984_T3,05-Jun-93,D051,E075,S275,403,,,
2860_T3,08-Oct-97,E051,E075,S275,144.79,,,
692_T3_06,22-Sep-06,E061,E075,S275,167.55,,,
686_T3_06,21-Sep-06,E016,E100,S275,169.47,,,
2902_T3,22-Oct-97,E051,E100,S275,165.61,,,
3725_T3,24-Oct-98,D051,E100,S275,479.87,,,
3721_T3,19-Oct-98,D051,E125,S275,472.44,,,
4440_T3,20-Aug-99,F051,E125,S275,227.04,,,
2333,21-May-97,E051,E125,S275,236.77,,,
702_T3_06,23-Sep-06,E061,E125,S275,174.27,,,
3954_T3,06-Apr-99,F051,E150,S275,490.05,,,
2281,12-Mar-97,E051,E150,S275,224.56,,,
705_T3_06,25-Sep-06,E061,E150,S275,162.23,,,
2296,11-Feb-97,E051,E175,S275,212.8,,,
3712_T3,16-Oct-98,D051,E175,S275,482.36,,,
696_T3_06,22-Sep-06,E061,E175,S275,159.17,,,
3948_T3,31-Mar-99,F051,E175,S275,476.55,,,
3706_T3,15-Oct-98,D051,E200,S275,423.45,,,
3944_T3,20-Mar-99,F051,E200,S275,480.85,,,
701_T3_06,22-Sep-06,E061,E200,S275,168.64,,,
2002,26-Aug-96,E051,E200,S275,226.61,,,
4269_T3,07-Jul-99,F051,E225,S275,305.07,,,
2227,09-Jan-97,E051,E225,S275,221.38,,,
3703_T3,14-Oct-98,D051,E225,S275,426.87,,,
711_T3_06,27-Sep-06,E061,E225,S275,154.79,,,
2280,03-Feb-97,E051,E250,S275,220.61,,,
3940_T3,19-Mar-99,F051,E250,S275,486.87,,,
2280_T3,23-Jan-97,E051,E250,S275,220.76,,,
740_T3_06,3-Oct-06,E061,E250,S275,201.48,,,
3969_T3,10-Apr-99,F051,E275,S275,501.13,,,
2307,26-May-97,E051,E275,S275,214.14,,,
1921_T3,02-Aug-96,F062,E300,S275,223.52,,,
3491_T3,19-Aug-98,F052,E300,S275,209.88,,,
2105,28-Sep-96,E052,E300,S275,209.61,,,
3496_T3,18-Aug-98,F052,E325,S275,377.54,,,
2363,28-May-97,E052,E325,S275,225.89,,,
1929_T3,07-Aug-96,F062,E350,S275,227.33,,,
3503_T3,21-Aug-98,F052,E350,S275,212.68,,,
2369,29-May-97,E052,E350,S275,222.78,,,
3508_T3,22-Aug-98,F052,E375,S275,214.81,,,
2320,27-May-97,E052,E375,S275,216.79,,,
3523_T3,27-Aug-98,F052,E400,S275,225.29,,,
3514_T3,24-Aug-98,F052,E425,S275,221.86,,,
3589_T3,10-Sep-98,F052,E450,S275,229.84,,,
3490_T3,18-Aug-98,F052,E475,S275,377.11,,,
3574_T3,08-Sep-98,F052,E500,S275,297.61,,,
3571_T3,05-Sep-98,F052,E525,S275,259.62,,,
3559_T3,03-Sep-98,F052,E550,S275,283.65,,,
549_T3_06,2-Jun-06,D042,E550,S275,270.45,,,
3556_T3,02-Sep-98,F052,E575,S275,304.63,,,
558_T3_06,6-Jun-06,D042,E575,S275,248.15,,,
4360_T3,03-Aug-99,F053,E600,S275,409.64,,,
2199_T3,08-Nov-96,D043,E600,S275,212.79,,,
4390_T3,02-Aug-99,F053,E625,S275,367.79,,,
4397_T3,07-Aug-99,D043,E625,S275,217.89,,,
2222_T3,09-Nov-96,D043,E650,S275,211.09,,,
4300_T3,13-Jul-99,F053,E650,S275,336.93,,,
4294_T3,12-Jul-99,F053,E675,S275,311.92,,,
2200_T3,31-Oct-96,D043,E675,S275,204.22,,,
4303_T3,15-Jul-99,F053,E700,S275,343.46,,,
2064_T3,16-Sep-96,D043,E700,S275,233.84,,,
4538_T3,20-Sep-99,F053,E725,S275,166.16,,,
541_T3_06,29-May-06,D043,E725,S275,337.16,,,
4568_T3,17-Sep-99,F053,E750,S275,163.49,,,
1039_T3,31-Jul-93,D043,E750,S275,387.25,,,
1023_T3,20-Jul-93,D043,E775,S275,378.76,,,
4544_T3,21-Sep-99,F053,E775,S275,169.17,,,
1012_T3,03-Jul-93,D043,E800,S275,401.83,,,
4587_T3,22-Sep-99,F053,E800,S275,160.86,,,
929_T3,17-Apr-93,D043,E825,S275,431.7,,,
4596_T3,24-Sep-99,F053,E825,S275,165.81,,,
3138_T3,21-Apr-98,F053,E850,S275,234.58,,,
913_T3,27-Mar-93,D043,E850,S275,425.5,,,
952_T3,13-May-93,D043,E875,S275,406.98,,,
649_T3_06,12-Sep-06,E064,E000,S300,224.94,,,
1854_T3,05-Jul-96,F064,E025,S300,317.73,,,
660_T3_06,14-Sep-06,E064,E025,S300,242.97,,,
999_T3,21-Jun-93,D054,E025,S300,394.21,,,
975_T3,01-Jun-93,D054,E050,S300,399.94,,,
1846_T3,02-Jul-96,F064,E050,S300,354.84,,,
666_T3_06,14-Sep-06,E064,E050,S300,187.8,,,
2854_T3,07-Oct-97,E054,E075,S300,166.34,,,
681_T3_06,16-Sep-06,E064,E075,S300,180.77,,,
694_T3_06,20-Sep-06,E064,E100,S300,169.15,,,
2908_T3,23-Oct-97,E054,E100,S300,141.25,,,
556_T3_06,6-Jun-06,F064,E100,S300,241.07,,,
430_T3_06,8-Mar-06,C054,E100,S300,350.71,,,
3960_T3,07-Apr-99,F054,E125,S300,489.23,,,
2339,23-May-97,E054,E125,S300,224.23,,,
3956_T3,08-Apr-99,F054,E150,S300,476.1,,,
1972,16-Aug-96,E054,E150,S300,256.92,,,
721_T3_06,28-Sep-06,E064,E150,S300,152.85,,,
560_T3_06,8-Jun-06,F064,E150,S300,245.32,,,
434_T3_06,9-Mar-06,C054,E150,S300,336.64,,,
3990_T3,26-Apr-99,F054,E175,S300,482.61,,,
1975,27-Aug-96,E054,E175,S300,260.33,,,
709_T3_06,27-Sep-06,E064,E175,S300,165.6,,,
3862_T3,09-Jan-99,C054,E200,S300,469.65,,,
VDH0385,21-Apr-88,E054,E200,S300,212.8,,,
715_T3_06,26-Sep-06,E064,E200,S300,174.15,,,
3994_T3,27-Apr-99,F054,E200,S300,491.93,,,
555_T3_06,6-Jun-06,F064,E200,S300,244.37,,,
4040_T3,11-May-99,F051,E225,S300,433.2,,,
3869_T3,15-Jan-99,C054,E225,S300,432.73,,,
1994,23-Aug-96,E054,E225,S300,230.53,,,
703_T3_06,25-Sep-06,E064,E225,S300,177.09,,,
2117,02-Oct-96,E054,E250,S300,235.18,,,
1951_T3,10-Aug-96,F064,E250,S300,220.18,,,
4039_T3,11-May-99,F054,E250,S300,432.87,,,
700_T3_06,21-Sep-06,E064,E250,S300,177.79,,,
2111,01-Oct-96,E054,E275,S300,227.08,,,
4257_T3,05-Jul-99,F054,E275,S300,461.13,,,
1952_T3,10-Aug-96,F064,E275,S300,243.52,,,
724_T3_06,27-Sep-06,E064,E275,S300,160.84,,,
VDH0147,20-Jul-87,E055,E300,S300,207.02,,,
VDH0132,23-Jun-87,F055,E300,S300,202.96,,,
1933_T3,07-Aug-96,F065,E325,S300,238.86,,,
2087,23-Sep-96,E055,E325,S300,219.38,,,
4094_T3,26-May-99,F055,E325,S300,431.89,,,
1943_T3,08-Aug-96,F065,E350,S300,219.49,,,
439_T3_06,11-Mar-06,C055,E350,S300,335.15,,,
2075,18-Sep-96,E055,E350,S300,219.21,,,
4098_T3,25-May-99,F055,E350,S300,504.12,,,
4093_T3,24-May-99,F055,E375,S300,471.6,,,
2326,28-May-97,E055,E375,S300,222.35,,,
446_T3_06,15-Mar-06,C055,E400,S300,323.11,,,
4118_T3,31-May-99,F055,E400,S300,443.04,,,
4148_T3,04-Jun-99,F055,E425,S300,459.49,,,
3928_T3,16-Mar-99,C055,E450,S300,489.49,,,
568_T3_06,17-Jun-06,F065,E450,S300,276.42,,,
4082_T3,22-May-99,F055,E450,S300,429.46,,,
3924_T3,13-Mar-99,C055,E475,S300,486.79,,,
4060_T3,15-May-99,F055,E475,S300,458.66,,,
3919_T3,12-Mar-99,C055,E500,S300,479.36,,,
4054_T3,14-May-99,F055,E500,S300,502.84,,,
570_T3_06,17-Jun-06,F065,E500,S300,258.53,,,
4059_T3,15-May-99,F055,E525,S300,455.69,,,
4132_T3,03-Jun-99,F055,E550,S300,461.99,,,
579_T3_06,22-Jun-06,F065,E550,S300,244.52,,,
2193_T3,30-Oct-96,D045,E550,S300,224.64,,,
4125_T3,02-Jun-99,F055,E575,S300,422.56,,,
2204_T3,30-Oct-96,D045,E575,S300,201.12,,,
VDH0158,05-Aug-87,D046,E600,S300,209.24,,,
4351_T3,27-Jul-99,F056,E625,S300,391.92,,,
2210_T3,31-Oct-96,D046,E625,S300,219.14,,,
2216_T3,08-Nov-96,D046,E650,S300,209.33,,,
4288_T3,09-Jul-99,F056,E650,S300,349.03,,,
4258_T3,08-Jul-99,F056,E675,S300,285.66,,,
2206_T3,09-Nov-96,D046,E675,S300,202.42,,,
4252_T3,07-Jul-99,F056,E700,S300,296.34,,,
VDH0366,30-Mar-88,D046,E700,S300,214.69,,,
4529_T3,16-Sep-99,F053,E725,S300,164.52,,,
2070_T3,17-Sep-96,D046,E725,S300,224.59,,,
4543_T3,20-Sep-99,F053,E750,S300,170.74,,,
1037_T3,30-Jul-93,D046,E750,S300,379.74,,,
4560_T3,18-Sep-99,F053,E775,S300,153.96,,,
1025_T3,21-Jul-93,D046,E775,S300,383.53,,,
VDH0371,06-Apr-88,D046,E800,S300,212.3,,,
4590_T3,23-Sep-99,F056,E800,S300,143.69,,,
926_T3,14-Apr-93,D046,E825,S300,421.23,,,
4591_T3,24-Sep-99,F056,E825,S300,162.95,,,
1853_T3,05-Jul-96,F056,E850,S300,291.51,,,
916_T3,31-Mar-93,D046,E850,S300,433.74,,,
1851_T3,03-Jul-96,F056,E875,S300,354.98,,,
970_T3,27-May-93,D046,E875,S300,408.96,,,
693_T3_06,20-Sep-06,E064,E000,S325,162.09,,,
991_T3,11-Jun-93,D054,E025,S325,397.63,,,
682_T3_06,19-Sep-06,E064,E025,S325,168.79,,,
2824_T3,01-Oct-97,E054,E050,S325,183.32,,,
992_T3,15-Jun-93,D054,E050,S325,396.16,,,
662_T3_06,15-Sep-06,E064,E050,S325,190.02,,,
2848_T3,06-Oct-97,E054,E075,S325,243.73,,,
667_T3_06,15-Sep-06,E064,E075,S325,184.83,,,
1003_T3,25-Jun-93,D054,E075,S325,348.93,,,
675_T3_06,16-Sep-06,E064,E100,S325,176.56,,,
2914_T3,24-Oct-97,E054,E100,S325,233.94,,,
3963_T3,08-Apr-99,F054,E125,S325,490.49,,,
4232,30-Jul-99,E054,E125,S325,289.72,,,
3126,13-Apr-98,E054,E150,S325,381.83,,,
3976_T3,13-Apr-99,F054,E150,S325,491.91,,,
3964_T3,08-Apr-99,F054,E175,S325,491.92,,,
2302,24-Feb-97,E054,E175,S325,234.01,,,
3855_T3,06-Jan-99,C054,E200,S325,461.73,,,
1981,20-Aug-96,E054,E200,S325,253.68,,,
3991_T3,26-Apr-99,F054,E200,S325,476.53,,,
720_T3_06,29-Sep-06,E064,E200,S325,149.79,,,
2277,10-Feb-97,E054,E225,S325,225.63,,,
4045_T3,12-May-99,F054,E225,S325,451.21,,,
698_T3_06,25-Sep-06,E064,E225,S325,152.61,,,
3122,06-Apr-98,E054,E250,S325,384.47,,,
4047_T3,13-May-99,F054,E250,S325,428.27,,,
704_T3_06,25-Sep-06,E064,E250,S325,147.17,,,
4089_T3,21-May-99,F054,E275,S325,443.83,,,
706_T3_06,23-Sep-06,E064,E275,S325,175.84,,,
2301,24-May-97,E054,E275,S325,220.65,,,
1955_T3,12-Aug-96,F065,E300,S325,220.22,,,
2081,19-Sep-96,E055,E300,S325,209.71,,,
4084_T3,21-May-99,F055,E300,S325,442.09,,,
2381,03-Jun-97,E055,E325,S325,204.1,,,
4077_T3,22-May-99,F055,E325,S325,430.4,,,
1946_T3,09-Aug-96,F065,E350,S325,223.13,,,
4088_T3,22-May-99,F055,E350,S325,432.18,,,
2314,25-May-97,E055,E350,S325,215.13,,,
744_T3_06,3-Oct-06,E065,E350,S325,199.33,,,
2332,29-May-97,E055,E375,S325,217.86,,,
4111_T3,29-May-99,F055,E375,S325,431.94,,,
4130_T3,01-Jun-99,F055,E400,S325,447.18,,,
3935_T3,17-Mar-99,C055,E400,S325,475.73,,,
773_T3_06,6-Oct-06,E065,E400,S325,141.77,,,
4154_T3,07-Jun-99,F055,E425,S325,445.71,,,
4090_T3,24-May-99,F055,E450,S325,426.65,,,
4061_T3,18-May-99,F055,E475,S325,451.44,,,
4055_T3,15-May-99,F055,E500,S325,503.12,,,
4062_T3,17-May-99,F055,E525,S325,496.5,,,
4140_T3,05-Jun-99,F055,E550,S325,449.47,,,
4119_T3,01-Jun-99,F055,E575,S325,444.89,,,
2212_T3,11-Nov-96,D046,E600,S325,215.98,,,
4343_T3,28-Jul-99,F056,E600,S325,359.29,,,
2228_T3,11-Nov-96,D046,E625,S325,243.45,,,
4339_T3,23-Jul-99,F056,E625,S325,339.42,,,
4291_T3,14-Jul-99,D046,E650,S325,339.3,,,
4331_T3,22-Jul-99,F056,E650,S325,375.08,,,
4234_T3,03-Jul-99,F056,E675,S325,244.19,,,
4297_T3,14-Jul-99,D046,E675,S325,316.87,,,
4246_T3,06-Jul-99,F056,E700,S325,303.91,,,
2048_T3,11-Sep-96,D046,E700,S325,239.82,,,
4463_T3,06-Sep-99,F056,E725,S325,150.79,,,
2062_T3,14-Sep-96,D046,E725,S325,227.04,,,
4475_T3,11-Sep-99,F056,E750,S325,158.8,,,
